Index,Name,Nationality,Positions,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
0,Cristiano Ronaldo,Portugal,ST,89,63,89,63,93,95,85,81,91,94,76,7,11,15,14,11,88,29,95,77,92,22,85,95,96,83,94,23,91,92,31,80,85,88,89,53,62,91,82,89,61,53,82,62,91,89,92,91,66,89,61,53,82,62,91,89,92,91,66,92
1,L. Messi,Argentina,RW,92,48,90,95,95,96,77,89,97,95,90,6,11,15,14,8,71,22,68,87,88,13,74,93,95,88,85,26,87,73,28,59,90,85,92,45,59,92,84,92,57,45,84,59,92,90,88,91,62,92,57,45,84,59,92,90,88,91,62,88
2,Neymar,Brazil,LW,94,56,96,82,95,92,75,81,96,89,84,9,9,15,15,11,62,36,61,75,77,21,81,90,88,81,80,33,90,78,24,53,80,83,88,46,59,88,79,88,59,46,79,59,88,87,84,89,64,88,59,46,79,59,88,87,84,89,64,84
3,L. Suárez,Uruguay,ST,88,78,86,60,91,83,77,86,86,94,84,27,25,31,33,37,77,41,69,64,86,30,85,92,93,83,87,38,77,89,45,80,84,88,87,58,65,88,80,87,64,58,80,65,88,85,88,87,68,87,64,58,80,65,88,85,88,87,68,88
4,M. Neuer,Germany,GK,58,29,52,35,48,70,15,14,30,13,11,91,90,95,91,89,25,30,78,59,16,10,47,12,85,55,25,11,61,44,10,83,70,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,R. Lewandowski,Poland,ST,79,80,78,80,89,87,62,77,85,91,84,15,6,12,8,10,85,39,84,65,83,25,81,91,91,83,88,19,83,79,42,84,78,87,84,57,62,87,78,84,58,57,78,62,87,82,88,84,61,84,58,57,78,62,87,82,88,84,61,88
6,De Gea,Spain,GK,57,38,60,43,42,64,17,21,18,13,19,90,85,87,86,90,21,30,67,51,12,13,40,12,88,50,31,13,58,40,21,64,68,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,E. Hazard,Belgium,LW,93,54,93,91,92,87,80,82,93,83,79,11,12,6,8,8,57,41,59,81,82,25,86,85,85,86,79,22,87,79,27,65,86,79,88,47,61,87,81,88,59,47,81,61,87,87,82,88,64,88,59,47,81,61,87,87,82,88,64,82
8,T. Kroos,Germany,CDM,60,60,71,69,89,85,85,85,79,76,84,10,11,13,7,10,54,85,32,93,90,63,73,79,86,90,87,69,52,77,82,74,88,82,83,72,82,81,87,83,76,72,87,82,81,81,77,80,78,83,76,72,87,82,81,81,77,80,78,77
9,G. Higuaín,Argentina,ST,78,50,75,69,85,86,68,74,84,91,62,5,12,7,5,10,86,20,79,59,82,12,70,92,88,75,88,18,80,72,22,85,70,88,81,46,52,84,71,81,51,46,71,52,84,79,87,82,55,81,51,46,71,52,84,79,87,82,55,87
10,Sergio Ramos,Spain,CB,75,84,79,60,84,80,66,73,61,60,67,11,8,9,7,11,91,88,93,72,55,86,68,52,85,78,79,91,77,84,89,81,63,66,70,87,83,70,74,70,84,87,74,83,70,71,72,69,81,70,84,87,74,83,70,71,72,69,81,72
