Name,Nationality,Position_int,Position,Rating,Height,Weight,Preffered_Foot,Work_Rate1,Work_Rate2,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Stamina,Strength,Balance,Speed,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes
Manuel Neuer,Germany,0,GK,92,193,92,1,1,1,4,1,48,30,10,11,10,29,85,12,30,70,70,15,55,59,58,61,44,83,35,52,78,25,25,13,16,14,11,47,11,91,89,95,90,89
Marvin Plattenhardt,Germany,1,LB,77,181,76,0,1,1,3,3,78,75,77,77,78,69,74,67,70,65,69,86,78,69,76,77,77,71,75,69,72,58,79,43,55,83,87,61,54,13,15,15,6,16
Jonas Hector,Germany,1,LB,81,185,75,0,1,1,3,3,81,74,77,81,81,70,80,62,81,70,81,79,79,75,76,77,84,76,68,71,61,73,69,55,61,65,65,65,51,12,9,10,10,14
Matthias Ginter,Germany,2,CB,79,190,87,1,1,1,3,2,72,62,79,79,80,69,78,55,80,68,76,73,75,74,54,73,72,81,53,59,65,83,78,51,56,58,51,67,53,8,12,6,10,10
Mats Hummels,Germany,2,CB,88,191,92,1,2,1,3,2,77,68,85,87,92,66,85,56,89,79,91,64,78,82,62,65,66,85,58,64,68,90,71,55,51,65,53,68,60,5,15,10,6,6
Sami Khedira,Germany,5,CM,84,189,93,1,2,2,4,2,81,78,76,78,86,82,86,80,86,80,84,72,85,81,63,69,79,91,55,59,69,76,84,70,80,68,68,69,76,15,11,5,9,8
Julian Draxler,Germany,5,CM,83,187,72,1,1,0,5,4,85,87,25,26,35,48,81,79,36,80,78,78,83,72,77,77,69,67,75,82,76,65,84,75,81,78,72,63,84,13,11,5,13,8
Toni Kroos,Germany,5,CM,88,182,78,1,1,1,5,3,85,78,63,65,75,60,85,76,77,88,85,85,89,93,55,37,78,74,62,70,34,54,87,75,88,85,84,73,82,7,10,13,11,10
Timo Werner,Germany,9,ST,78,180,75,1,1,1,4,3,77,78,17,19,20,63,80,80,35,57,64,69,74,55,92,90,78,59,77,79,77,65,71,82,64,62,42,63,72,15,9,8,9,9
Mesut Ozil,Germany,5,CM,89,180,76,0,1,0,2,4,90,86,22,19,16,48,87,84,24,93,73,82,89,84,77,68,68,56,70,84,52,54,70,75,76,84,79,67,77,6,6,10,14,14
Marco Reus,Germany,4,LM,88,182,76,1,1,1,4,4,85,86,30,46,36,49,87,87,50,86,82,83,86,79,89,91,73,67,82,87,72,51,87,84,85,90,84,84,88,13,12,13,12,11
Kevin Trapp,Germany,0,GK,82,189,88,1,1,1,4,1,24,10,10,10,14,30,79,12,22,45,48,13,25,12,45,52,45,73,37,42,75,11,22,13,13,14,12,17,12,80,83,79,79,84
Leon Goretzka,Germany,5,CM,81,189,79,1,2,2,4,3,81,79,71,78,77,84,82,75,82,78,77,72,82,78,77,84,84,68,72,76,67,73,76,66,77,76,72,51,68,11,13,15,8,9
Niklas Sule,Germany,2,CB,81,195,95,1,1,1,3,2,46,42,82,82,86,77,79,26,84,30,69,30,72,57,51,68,65,93,33,33,38,80,70,20,59,28,30,32,29,7,15,14,7,15
Antonio Rudiger,Germany,2,CB,80,190,85,1,1,2,3,2,67,59,82,79,80,89,78,33,76,57,70,68,70,65,76,78,65,81,50,63,72,77,70,27,40,34,56,40,34,12,14,10,15,8
Jerome Boateng,Germany,2,CB,89,192,90,1,1,1,4,2,72,67,90,91,92,82,84,47,84,76,86,69,75,80,74,81,75,91,54,58,75,86,79,34,58,56,31,46,53,6,7,15,12,5
Joshua Kimmich,Germany,5,CM,80,176,70,1,1,1,4,3,78,77,76,77,76,74,80,76,77,79,76,79,84,80,75,67,80,65,82,83,79,70,75,66,67,76,61,44,61,15,8,7,15,15
Sebastian Rudy,Germany,5,CM,79,179,74,1,1,1,3,3,80,78,64,70,70,58,79,70,77,80,76,73,81,79,74,68,78,65,73,79,65,59,71,63,72,78,76,71,66,12,13,13,8,10
Julian Brandt,Germany,4,LM,80,183,82,1,1,1,4,4,81,86,25,24,20,42,78,78,29,80,59,74,80,68,81,83,68,63,74,81,63,42,77,74,73,69,52,54,66,8,11,11,16,9
ilkay Gundogan,Germany,5,CM,85,180,80,1,2,1,4,4,88,87,57,64,64,68,87,77,79,87,86,74,90,83,77,74,73,74,83,85,62,49,77,69,74,81,74,76,75,5,11,5,14,13
Marc-Andre ter Stegen,Germany,0,GK,83,187,85,1,1,1,4,1,18,17,10,10,13,43,80,11,22,57,66,15,30,38,38,50,35,79,43,37,82,11,22,13,10,18,12,25,14,78,84,83,81,85
Mario Gomez ,Germany,5,CM,82,176,75,1,1,1,4,4,90,88,16,23,43,48,84,82,66,82,85,77,85,79,73,68,60,67,84,86,62,49,68,74,66,80,73,65,87,6,14,12,7,10
